資料版本編號,附屬路線唯一識別代碼,所屬業管機關,營運業者編號,去返程 [0: 去程; 1: 返程; 2: 迴圈; 255: 未知],站牌所屬的站位唯一代碼,站牌所屬的站位代碼,站牌所屬的站名碼,站牌唯一識別代碼,地區既用中之站牌代碼,站牌中文名稱,站牌英文名稱,上下車站別 [0: 可上下車; 1: 可上車; -1: 可下車],路線經過站牌之順序,位置緯度(WGS84),位置經度(WGS84),地理識別碼,市區鄉鎮代碼,市區鄉鎮名稱,站牌位置縣市之代碼,來源端平台資料更新時間(yyyy-MM-dd HH:mm:ss),本平台資料更新時間(yyyy-MM-dd HH:mm:ss),資料代表日期(yyyy-MM-dd)
VersionID,SubrouteUID,Authority,OperatorNo,Direction,StationUID,StationID,StationNameID,StopUID,StopID,StopNameZh,StopNameEn,StopBoarding,StopSequence,PositionLat,PositionLon,Geohash,TownID,TownName,LocationCityCode,SrcUpdateTime,UpdateTime,InfoDate
1613,TPE159697,Taipei,0913,0,TPE14417,14417,,TPE20808,20808,陽明山國小,Yangmingshan Elementary School,0,19,25.11785,121.5521,wsqqvuxd,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE107710,Taipei,0813,0,TPE2010,2010,,TPE202479,202479,福州街,Fuzhou St.,0,28,25.028027,121.517445,wsqqmhnq,5,中正區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE107650,Taipei,0813,0,TPE50503,50503,,TPE22684,22684,衛勤訓練中心,Health Service Training Center,-1,14,25.07383,121.602397,wsqqxhs1,10,內湖區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10443,Taipei,0301,1,TPE3674,3674,,TPE148874,148874,長榮路,Changrong Rd.,0,42,25.092196,121.460272,wsqqezus,14,蘆洲區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10792,Taipei,0813,0,TPE16020,16020,,TPE17130,17130,圓環(南京),Taipei Circle(Nanjing),0,30,25.0535386682891,121.516898747231,wsqqt0vg,6,大同區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE107670,Taipei,0813,1,TPE1000677,1000677,,TPE38406,38406,東湖國中,Donghu Junior High School,0,24,25.07287274,121.6194588,wsqqxs2s,10,內湖區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE103260,Taipei,1304,1,TPE2900,2900,,TPE35580,35580,安康派出所,Ankang Police Substation,-1,32,24.9632913013419,121.51395757731,wsqqj07v,6,新店區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE107480,Taipei,0813,1,TPE2368,2368,,TPE152029,152029,大誠高中,Tacheng High School,0,40,24.990413,121.576905,wsqqnt3e,8,文山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE104170,Taipei,0301,1,TPE13215,13215,,TPE56960,56960,中山藝術公園,Zhongshan Art park,0,24,25.06043253,121.4925214,wsqqsdh5,2,三重區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE101320,Taipei,1407,0,TPE6002,6002,,TPE33227,33227,民權路口,Minquan Rd. Entrance,0,17,25.01097152,121.4636848,wsqq7cp5,1,板橋區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE102720,Taipei,0913,1,TPE14405,14405,,TPE20695,20695,平菁街116巷口,Pingjing St. Lane 166,-1,2,25.12412,121.57294,wsqqymww,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE102730,Taipei,0913,0,TPE933,933,,TPE20826,20826,興農橋,Xingnong Bridge,-1,37,25.139328,121.570212,wsqrn2kx,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE102620,Taipei,0913,1,TPE911,911,,TPE20622,20622,台北海大,Taipei University of Maritime Technology,0,45,25.1085253,121.4706761,wsqqu4u5,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE160377,Taipei,0813,0,TPE1000858,1000858,,TPE17469,17469,興德國小,Xingde Elementary School,0,17,25.0009828977016,121.550073640107,wsqqjzq1,8,文山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10231,Taipei,0913,1,TPE1646,1646,,TPE151078,151078,南港分局(向陽),Nangang Police Dist.(Xiangyang),0,38,25.0553345135907,121.594415258716,wsqqwcnm,9,南港區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE104610,Taipei,0301,1,TPE4996,4996,,TPE21812,21812,三總內湖站(急診部),Tri-Service General Hospital(ER),-1,39,25.0707796580106,121.593893294783,wsqqwgvz,10,內湖區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE158419,Taipei,0303,0,TPE1000620,1000620,,TPE11151,11151,陽明教養院,Yang Ming Home for the Disabled,0,16,25.110508,121.548654,wsqqvgjp,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE104170,Taipei,0301,1,TPE3387,3387,,TPE36100,36100,大同路口,Datong Rd. Entrance,0,25,25.0613984013315,121.494845415865,wsqqsdmc,2,三重區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10283,Taipei,0913,1,TPE6020,6020,,TPE18608,18608,臥龍街,Wolong St.,0,11,25.0247072352904,121.547497854598,wsqqmgs5,3,大安區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE104230,Taipei,0301,0,TPE13206,13206,,TPE21458,21458,三重國民運動中心,Zhongxing Swimming Pool,0,29,25.05396112,121.4884396,wsqqs8cj,2,三重區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE104620,Taipei,0301,0,TPE8667,8667,,TPE21872,21872,內湖行政大樓,Neihu Admin. Building,0,27,25.06916,121.58832,wsqqwg9y,10,內湖區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10726,Taipei,0813,1,TPE1982,1982,,TPE17048,17048,捷運中正紀念堂站(羅斯福),MRT CKS Memorial Hall Station (Roosevelt),-1,17,25.032297,121.518848,wsqqmhzr,5,中正區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10821,Taipei,0303,1,TPE563,563,,TPE11079,11079,下竹林,Xiazhulin,0,15,25.12941,121.54752,wsqqvysj,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10328,Taipei,1304,0,TPE30103,30103,,TPE14422,14422,新店郵局,Xindian Post Office,0,35,24.97808,121.54273,wsqqjg0e,6,新店區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10735,Taipei,0813,0,TPE2405,2405,,TPE17451,17451,木柵公園,Muzha Park,0,9,24.98702,121.56077,wsqqnhtz,8,文山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE159403,Taipei,0301,1,TPE1001443,1001443,,TPE57560,57560,精技大樓,Unitech Building,-1,34,25.06433373,121.5825061,wsqqwdvd,10,內湖區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10283,Taipei,0913,0,TPE1000435,1000435,,TPE18534,18534,臺北市憲兵隊,Taipei Military Police Squad,-1,39,25.04072737,121.5091239,wsqqmn80,5,中正區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10292,Taipei,0913,0,TPE2105,2105,,TPE10929,10929,松壽路口,Songshou Rd. Entrance,0,15,25.0357841121602,121.567407790567,wsqqqmds,2,信義區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10283,Taipei,0913,0,TPE30005,30005,,TPE18516,18516,頭前,Touqian,0,29,25.041731,121.46516,wsqqkn8n,5,新莊區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10751,Taipei,0813,0,TPE2464,2464,,TPE16435,16435,景美國中,Jingmei Junior High School,0,3,24.992776404618,121.542708979168,wsqqjvb9,8,文山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10261,Taipei,0913,0,TPE16251,16251,,TPE15883,15883,大稻埕碼頭,Dadaocheng Dock,0,22,25.0567479019514,121.50794870316,wsqqscrq,6,大同區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10821,Taipei,0303,1,TPE749,749,,TPE11103,11103,芝蘭新村,Zhilan New Village,0,27,25.1072897892355,121.537298719254,wsqqvdsu,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
